,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Abilene Christian,,,-5.882491408944,-90.1543513154255,43.285605973376,48.5647733840967,-57.8085048774015
Air Force,,,3.04389835859781,-11.7567486570176,65.2802351836938,25.1318985264199,75.8183752189792
Akron,,,34.762459227515,4.60929182808568,93.759476349725,34.323525376858,234.09515970711
Alabama,,,43.9853336890874,-18.1230445880649,105.877419180425,47.8475743029064,294.104384510404
Alabama A&M,,,9.84519373606333,-21.2122172779169,20.4532986359947,21.6529824151765,9.08627509414113
Alabama St.,,,14.9623127480353,-23.95347650781,106.24174349219,49.0282383706956,267.10961719859
Albany,,,-13.553372107238,-14.835262262672,10.683896961072,12.3760595285945,-31.258109516076
Alcorn St.,,,22.93121946024,2.25805282024,89.7573915214645,31.8442008089002,283.884776769811
American,,,24.018910868616,-15.335150073896,38.406595120944,20.6987559394553,92.696098987038
Appalachian St.,,,2.19871887855681,-109.293673127046,32.5020027784491,47.7493628886941,-50.8397689903345
Arizona,,,3.908716221445,-21.980469729,59.66179217189,35.1059989357366,75.233780366428
Arizona St.,,,7.94602109842572,-24.0749238929477,47.7018956948405,23.6808640694553,100.540661227887
Arkansas,,,4.08140856013626,-29.091304237484,51.960981349548,31.5850003983976,56.7024110543139
Arkansas Pine Bluff,,,17.559252654285,-20.96896332785,86.230498855096,33.6034724824989,213.971689721654
Arkansas St.,,,20.92271873124,-42.51056407876,37.19729471124,27.7772558155609,69.5639087511823
Army,,,22.4449961535514,-72.178235055482,48.7591682763555,45.6237181597439,62.3937118137558
Auburn,,,17.92129595332,-49.7458739927607,81.6996659513001,42.6199553465352,116.252007446459
Austin Peay,,,30.578329220562,2.279031044648,79.871769492228,32.364715296089,219.026051382996
Ball St.,,,-1.257110007056,-11.360564386472,25.971725639806,15.5591229079353,28.2047377070244
Baylor,,,10.9294179388196,-48.1315119135091,33.4486552615776,30.4949047981887,8.46871141158887
Bellarmine,,,27.2945934177975,-37.88586635294,79.89720328706,40.235118827127,120.119379479168
Belmont,,,12.0020430000917,-8.73700817932362,28.7672963934628,18.3026464537305,62.8251266653507
Bethune Cookman,,,13.6900679949428,-55.9610754676867,110.567796591217,61.1143991136976,119.439208302398
