,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line)^2,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Potential Game Coding Next Season,Personal Score Thought,"THINK ABOUT ON THE ROAD FAVORITES, within 10 line, 20+ line, power conference vs power conference, actually name the conference for opponent, road x conference, add attendance back,  ranked opponents, top 5, top 10, (sm+line+10)^2 vs ranked, lead/deficit both within 15, both l/d between 7-15, wins by top 25 opponent, actively in bracketology?, power non conference road game, add opponent coach rating",SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Team:,,,,,,,,,,,,,,,Average:,Average:,,,,,,,Average:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median:,Minimum:,Maximum:,STDEV:,Sum:
Abilene Christian,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Abilene Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Air Force,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Akron,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Alabama,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.1230445880649,-18.1230445880649,-18.1230445880649,–,-18.1230445880649
,Alabama,HOME,SEC,North Dakota,Summit,"November 3, 2025","Tuscaloosa, AL",13474,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,-36.5,-56.25,6.25,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,170.5,153,0,111.187741193506,84.245,1,112,21112,15,,-18.1230445880649,-18.1230445880649,-18.1230445880649,-18.1230445880649,-18.1230445880649
Alabama A&M,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Alabama A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Alabama St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Alabama St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Albany,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.683896961072,10.683896961072,10.683896961072,–,10.683896961072
,Albany,AWAY,American East,Marquette,Big East,"November 3, 2025","Milwaukee, WI","13,168",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-27,24.5,-6.25,56.25,0,2,31,62,0,0,0,0,0,0,0,0,0,0,0,1,149.5,133,0,23.7311961072,10.277,1,211,22211,10,,10.683896961072,10.683896961072,10.683896961072,10.683896961072,10.683896961072
Alcorn St.,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25805282024,2.25805282024,2.25805282024,–,2.25805282024
,Alcorn St.,AWAY,SWAC,Florida St.,ACC,"November 4, 2025","Tallahassee, FL","5,397",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-32,27.5,-20.25,30.25,0,3,34,102,0,0,0,0,0,0,0,0,0,0,0,1,156.5,184,0,-1.746617976,11.934,1,211,21211,10,,2.25805282024,2.25805282024,2.25805282024,2.25805282024,2.25805282024
American,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Appalachian St.,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.3268900802269,-10.3268900802269,-10.3268900802269,–,-10.3268900802269
,Appalachian St.,AWAY,Sun Belt,Central Michigan,MAC,"November 3, 2025","Mount Pleasant, MI","1,587",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-16,1.5,-210.25,-20.25,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,142.5,148,0,32.5679919773111,24.161,1,212,21212,0,,-10.3268900802269,-10.3268900802269,-10.3268900802269,-10.3268900802269,-10.3268900802269
Arizona,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.658512675128,45.658512675128,45.658512675128,–,45.658512675128
,Arizona,NEUTRAL,Big 12,Florida,SEC,"November 3, 2025","Las Vegas, NV",—,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,6,3.5,90.25,380.25,1,9,12,108,0,1,0,1,0,0,0,1,1,0,1,0,164.5,180,0,80.8205675128,66.847,1,321,22321,90,,45.658512675128,45.658512675128,45.658512675128,45.658512675128,45.658512675128
Arizona St.,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.081995685672737,-0.081995685672737,-0.081995685672737,–,-0.081995685672737
,Arizona St.,HOME,Big 12,Southern Utah,WAC,"November 4, 2025","Tempe, AZ","7,513",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,-17.5,-0.25,90.25,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,150.5,145,0,47.4127314327263,5.994,1,112,21112,30,,-0.081995685672737,-0.081995685672737,-0.081995685672737,-0.081995685672737,-0.081995685672737
Arkansas,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08140856013626,4.08140856013626,4.08140856013626,–,4.08140856013626
,Arkansas,HOME,SEC,Southern,SWAC,"November 3, 2025","Fayetteville, AR",19200,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,-26.5,30.25,240.25,1,37,2,74,0,0,0,0,0,1,0,0,1,0,0,1,150.5,186,0,191.947756013626,70.938,1,112,21112,15,,4.08140856013626,4.08140856013626,4.08140856013626,4.08140856013626,4.08140856013626
Arkansas Pine Bluff,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.163042632606,12.163042632606,12.163042632606,–,12.163042632606
,Arkansas Pine Bluff,AWAY,SWAC,Washington,Big Ten,"November 3, 2025","Seattle, WA",5577,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-44,34.5,-90.25,0.25,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,160.5,144,0,8.4793632606,6.35,1,211,21211,20,,12.163042632606,12.163042632606,12.163042632606,12.163042632606,12.163042632606
Arkansas St.,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.07545222124,27.07545222124,27.07545222124,–,27.07545222124
