,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,8.686516,0.025252,-0.113503,2.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,,0.076186,0.846192,,-0.113265,,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,365,Wins Prior to Season,Losses Prior to Season,Wins at School (current stint),Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances squared,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Losing Seasons Consecutively > Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach (FIX THIS ONE EVERY YEAR),Consecutive seasons improving record prior to season,Consecutive seasons without improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Consecutive seasons without improving record Including season,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,Championship Criteria 2.0 (2027 year 1 possible),AP + UPSET + MM Year Prior INDY,Coach Value - Historical Value for 5+ years at school for coach,Started Season as Head Coach,"NOTES*** Record improvement: I need to do a couple of things. Break up improving record of school, coaches change in record. I also want over .500 power without march appearance (or sub .500 power). Coaches record at school vs previous coach record at school. Also do last seasons record. Not sure if I have this but improved coaches record, improved record at school.",,Score
Abilene Christian,Brette Tanner,WAC,FALSE,FALSE,FALSE,FALSE,TRUE,,70,62,70,62,8,5,78,67,0.5379,0.5379,0,5,5,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0.4,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.615384615384615,0.5,0,0.5,2,0,3,0.115384615384615,0,0,,,1,0,0,-10,10,0,94,1,,,33.1772927102615
Air Force,Joe Scott,Mountain West,FALSE,FALSE,FALSE,FALSE,TRUE,,278,346,94,169,3,9,281,355,0.4418,0.3527,1,22,6,0,1,0,100,0,0,0,1,0.0454545454545455,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,289,17,0,0,1,3,0,0,0.181818181818182,0,0,0,0,7,3,0,0,0,7,0,0.318181818181818,0,1,0,5,3,1,1,0,6,6,0,36,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.25,0.125,0,0.125,0,2,1,0.125,0,0,,,-1,0,1,-5,15,0,23,1,,,-52.7110248662182
Akron,John Groce,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,348,219,168,88,9,3,357,222,0.6166,0.6604,0,18,9,5,6,1,100,1,0,0.277777777777778,0,0.352941176470588,36,0,0.2,0,0,4,6,0.4,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,5,5,0,0.769230769230769,0.833333333333333,0,0,0,14,4,9,2,0,15,9,0.833333333333333,1,0,7,0,7,0,0,8,0,0,64,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.75,0.8,0,0.8,2,0,0,-0.05,1,0,,,1,0,1,17,37,0,-11,1,, ,97.8248002629014
Alabama,Nate Oats,SEC,FALSE,FALSE,FALSE,TRUE,TRUE,,241,106,145,63,10,3,251,109,0.6972,0.7014,0,11,7,7,8,5,100,1,0,0.636363636363636,0,0.8,64,0,0.833333333333333,0,0,13,8,0.619047619047619,100,0,1,0,0,0,0,0,4,2,1,0,0,0,0,0,7,7,1,5,2,1,0.625,0.4,0,0,10,3,7,6,2,11,7,1,1,0,10,0,10,0,0,11,0,0,121,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.769230769230769,0.757,0,0.757,1,0,2,0.012230769230769,0,0,,,1,1,0,56,76,1,5,1,,,148.65563173362
Alabama A&M,Donte Jackson,SWAC,FALSE,FALSE,TRUE,FALSE,TRUE,,132,124,0,0,6,6,138,130,0.5149,0.5,0,9,1,0,1,0,81,0,0,0,0,0.111111111111111,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0.444444444444444,0,0,0,0,4,0,2,0,0,4,2,0.444444444444444,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.313,0.187,0.353,0,2,1,0.147,0,0,,,1,0,1,-15,5,0,0,1,,,24.1584714389111
Alabama St.,Tony Madlock,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,57,78,41,58,3,10,60,88,0.4054,0.3929,0,5,4,0,1,0,25,0,1,0,0,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.2,1,0,1,0,1,1,1,0,0,1,1,0.2,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.230769230769231,0.556,0,0.556,2,0,0,-0.325230769230769,1,0,,,1,0,1,2,2,0,0,1,,,32.7577966317231
Albany,Dwayne Killings,American East,FALSE,FALSE,FALSE,FALSE,TRUE,,51,76,51,76,4,10,55,86,0.3901,0.3901,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0.285714285714286,0.515,0,0.515,2,0,0,-0.229285714285714,1,0,,,1,0,1,-13,-13,0,0,1,,,22.1846884670571
Alcorn St.,Jake Morton,SWAC,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,11,1,11,0.0833,0.0833,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.0833333333333333,0.344,-0.260666666666667,1,0,0,0,0,1,0,,,0,0,1,-21,-1,0,0,1,,,-0.0160552507333362
